Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	8.39842e+006	320	0	0	0	0	0	0	0	0	320	0	
1	8.39835e+006	384	0	0	0	0	0	0	0	64	384	0	
2	8.39829e+006	448	0	0	0	0	0	0	0	64	448	0	
3	8.39797e+006	770	0	0	0	0	0	0	0	322	770	0	
4	8.39762e+006	795	244	76	0	0	0	0	0	345	1115	244	
5	8.39721e+006	1146	292	92	0	0	0	0	0	415	1530	292	
6	8.39652e+006	1768	340	108	0	0	0	0	0	686	2216	340	
7	8.39554e+006	2430	580	189	0	0	0	0	0	984	3200	580	
8	8.39423e+006	3392	842	273	0	0	0	0	0	1307	4507	842	
9	8.39233e+006	4880	1161	370	0	0	0	0	0	1904	6410	1161	
10	8.38961e+006	6907	1439	457	55	0	0	265	0	2713	9123	1692	
11	8.38603e+006	9506	2129	687	69	0	0	315	0	3583	12706	2433	
12	8.3809e+006	13331	3055	1004	82	0	0	366	0	5131	17837	3408	
13	8.37364e+006	18690	4255	1386	143	0	0	627	0	7263	25100	4861	
14	8.36361e+006	26002	6026	1982	210	0	0	905	0	10025	35125	6909	
15	8.34971e+006	36317	8380	2796	290	0	0	1240	0	13899	49023	9597	
16	8.33006e+006	50839	11689	3932	374	26	20	1816	0	19653	68676	13459	
17	8.30271e+006	70925	16376	5524	547	30	22	2623	0	27349	96025	18948	
18	8.26484e+006	98767	22889	7729	787	34	23	3685	0	37866	133892	26500	
19	8.21212e+006	137591	31895	10718	1097	53	33	5260	0	52722	186614	37028	
20	8.13941e+006	190650	44578	14975	1544	71	40	7508	0	72712	259326	51859	
21	8.03906e+006	263655	62426	20894	2154	92	52	10459	0	100355	359681	72533	
22	7.90149e+006	363352	86991	29063	3025	132	70	14681	0	137563	497244	101175	
23	7.71397e+006	498152	121163	40351	4260	182	93	20657	0	187523	684766	141123	
